Symbol,sentiment,sentiment_score,MACD,MACD Signal,MACD Diff,sma3_minus_close,sma6_minus_close,sma9_minus_close,sma12_minus_close,sma15_minus_close,sma18_minus_close,sma21_minus_close,sma24_minus_close,sma27_minus_close,oil,oil_pct_1,oil_pct_2,oil_pct_3,oil_pct_4,gold,gold_pct_1,gold_pct_2,gold_pct_3,gold_pct_4,^FVX,^TNX,^TYX,^FVX_log_yoy,^TNX_log_yoy,^TYX_log_yoy
WELL,0.00038647066661383984,0.011163317281663428,0.0459248192193793,0.41921113046086583,0.011882708202334797,0.015364206365558408,0.008324297647721874,0.005707534472409324,0.009857525472269745,0.006745197254242548,0.012882032034761775,0.027792305907976784,0.010560055508660215,0.016109961094581807,0.02243987211586635,0.021503065264194734,0.007216139821529217,0.06627216292286951,0.10060424980112236,0.00998419216763521,0.023173558762536066,0.010298315013904404,0.01159455423416229,0.013403486404983051,0.02985429340010169,0.013509838001565865,0.030742082982769897,0.013690208744586953,0.009242650106583991,0.014559768666548819
IPG,0.0007472655390907186,0.045190648894311874,0.06365740777263078,0.3698925481271744,0.006927184827086875,0.049108868855848656,0.010289622702335098,0.017232409693667027,0.013618049954398496,0.01382158983539798,0.0082962398622234,0.02247421450197153,0.009520668667412526,0.016095781570927236,0.018613266144356475,0.048519573788091706,0.020972480857539014,0.021993614226201098,0.04932921025309148,0.03440783746111239,0.03773071072333613,0.017092073898009142,0.006092356995602741,0.0077033716722018876,0.01793845668480713,0.01843712027677203,0.01334749793389159,0.02226532446573813,0.005133982341908769,0.013550621472863747
CF,0.0003260566151885131,0.022957615270144352,0.06026030096604714,0.41293228783199093,0.004845490623482491,0.027466272285774352,0.013879353108556583,0.014207955197295426,0.009236800408012388,0.00265167846808295,0.005824294408155809,0.013674218834688216,0.013262671721717348,0.02523635217147792,0.05193214447154409,0.015887726217037226,0.06506492286688885,0.034287446062587844,0.02932966906628991,0.02143526482334614,0.020300717404262807,0.010172315696102305,0.024677679185710923,0.003304092800560618,0.019235509482988914,0.03170411559092027,0.011655372873155016,0.020922849226875373,0.003852617579476973,0.009476208741638355
ETR,0.0022033142833582913,0.01445772869503887,0.02536901581623716,0.5345952969470954,0.02603727200192516,0.04216589057046053,0.06273951992919233,0.007781753193534446,0.0034846080417656245,0.0018365527994224416,0.011249684393594877,0.007078664518265103,0.011020556082740945,0.014553514126707998,0.018400967042890223,0.008669296383791818,0.005564417177269416,0.016046039856006528,0.010119855519961493,0.016964775962421057,0.015423861792333014,0.022769870755488652,0.024401279759260222,0.008814941429163356,0.03112573409346833,0.017489250130116332,0.006528301354619694,0.008934086457547914,0.016246130974021597,0.007927819912301116
ADM,0.0031208784727067623,0.1924794079497265,0.07559596349315387,0.18558998372854177,0.01508628275850511,0.0494659283513172,0.01493353328534191,0.01471331161585015,0.005641205669631953,0.011702972797007664,0.013195344978944064,0.028464753666537213,0.0028132499453130933,0.01506938282108124,0.061119940109422774,0.010569202230319692,0.004503460938091801,0.012705130443153844,0.005280345495142589,0.06664112523417053,0.008517508914404769,0.016314923829462948,0.005650495455982389,0.013467383470078788,0.03951310425769394,0.046398251554818824,0.044000293429381304,0.013947426958598543,0.009045870656251847,0.014453337489367085
ATO,0.0020093615550053024,0.01955934356000905,0.01690092508719489,0.5757275171242854,0.02369420909943123,0.011028244088001894,0.016572392494516332,0.011555984922542,0.02463039633800613,0.011267951045484526,0.006612536560341513,0.003222728105552743,0.006197349944908489,0.008551223420522922,0.02889731463936511,0.006772549736157407,0.00845842852748347,0.011026514010494558,0.0034809705863545095,0.01715272142099134,0.013186707515184382,0.005105884951410122,0.010523704338781642,0.004138885919355809,0.04606806666207359,0.05830333871764303,0.019899027846873016,0.0073552777431852385,0.012487686086054817,0.009612757952789422
SNA,0.0006523915048959095,0.004224372585908157,0.023823958248140816,0.35785581090803,0.008933384149745947,0.017611552849990636,0.016943520525389798,0.02802813434124643,0.017404999126558334,0.02939132447289594,0.014209746774991991,0.0048114935181079906,0.009526598402439634,0.03003935692514646,0.031234083804943448,0.06493186822283487,0.006788518924925301,0.0465923411280425,0.015645146998728834,0.013950405863490743,0.04399732169150484,0.007058840628118519,0.05358428898321096,0.026739785380030242,0.00377366550781139,0.006229860851510163,0.011282803500497185,0.02758011084042219,0.033758469404332116,0.04339584393610866
EQR,0.0030740653286042384,0.00783094538539884,0.11144428319389131,0.28968026967284755,0.011496570835139441,0.00932369651824228,0.014317995558820457,0.03658841176249168,0.020270973344503885,0.01829244866027208,0.03920375335511099,0.023682333005152798,0.025780450307159416,0.044345267649005475,0.007453742252132553,0.02231224577036223,0.015344956415432704,0.028367145024576507,0.014910388471081892,0.019854011480056694,0.061942134856159674,0.06517320624703278,0.026370181773652347,0.005001250462770033,0.012319145977303592,0.015973202805079186,0.028233312331786317,0.012800602691604079,0.0025570950862955732,0.00605591377803346
CRM,2.5681325495044665e-05,0.09708867924291874,0.00727520737098062,0.5042809479033238,0.006435202594401003,0.0058240630370580415,0.005523672101849086,0.006258472646997278,0.005815706059821093,0.004698259059057928,0.002312983927750587,0.0027822797456882663,0.004414164694310888,0.004670477181446869,0.010057384104461033,0.035554278682980486,0.034394847039875304,0.031591186700044765,0.03187488952292134,0.04101902407987681,0.010225328837059103,0.052760846012248855,0.015494745372902085,0.007110915752491658,0.012049328693943387,0.015369902795784549,0.01226085767364126,0.00715650069118778,0.01473657663517478,0.010937590514307672
ARE,0.0012234370944541,0.005266962888673053,0.1933867066243952,0.11532746948979143,0.010644370839932941,0.009974898997127786,0.013322965780108838,0.0008763137256394177,0.007899957982784818,0.048969184216611145,0.007818929133260799,0.008317598790848493,0.014623159787840628,0.004770286644798659,0.059088071913555716,0.02688611614709818,0.025456951061315677,0.0052261773216903925,0.027339894913750502,0.10769202086683625,0.00627844048549554,0.002531019327868624,0.016717937544535738,0.016861124048743428,0.06442022364206199,0.0777413276139142,0.09296792063915085,0.007496355266057122,0.004874501187913426,0.015999676023745028
IQV,0.00026044852586975674,0.012111620224991146,0.0204564324400764,0.3848458352399908,0.004278721035287475,0.002336582816113292,0.0009626590211866974,0.002093578712192942,0.002932266404947286,0.0038982976064194856,0.0029078817952693657,0.0033810228571239356,0.010409600985571872,0.005871705391064258,0.34796441939321376,0.007677096282754371,0.006644885392632655,0.002620201980304138,0.0025346826051880866,0.006381204389821729,0.006554841863479827,0.009095033367554734,0.0017831730646052605,0.0023378381731442473,0.0018493053919123145,0.0025180873255436693,0.14118774567770792,0.002008059257801347,0.0008877284947101705,0.0012090442835210968
GIS,0.008317669460965668,0.07381475202439777,0.10401072017193998,0.058052660768256895,0.02158486920495344,0.01405821522178482,0.017693958670052377,0.011282169112186595,0.05102995890069631,0.07745304191756427,0.025576731625169158,0.05319839854086877,0.04474043508926671,0.08990856314357924,0.018613075238392843,0.04407638454863371,0.033734617516784866,0.025365074121170603,0.014161916374089444,0.05109674701612658,0.032206279142602046,0.010944404987279157,0.012767243263657324,0.009996448377774076,0.019259523639109714,0.021099316550484373,0.011585769971998706,0.010362251663568937,0.009168395668315763,0.02484040806832993
MDT,0.0008150050613882076,0.014625057747588958,0.12720755520119514,0.2534769610760463,0.016386892136201096,0.03246243821537198,0.008973601611402846,0.017673316852016296,0.009339616752936935,0.012270345296711255,0.01742724993657112,0.007054564826780012,0.02687520462720082,0.04002273146574782,0.031817932351320716,0.025777949118734836,0.045457853424935066,0.022031093168856167,0.059434157843467464,0.00937225998834411,0.03224171561412674,0.0096186943891731,0.008040394299742995,0.07026628737620594,0.009180364261074053,0.009126067897444483,0.01208507002603428,0.040762000031775596,0.025018985146987433,0.005158634254618421
HPQ,7.67009634018646e-05,0.019479893972419466,0.036660524097425616,0.3949533793480761,0.015903244131835283,0.040501901834656746,0.013077548701830623,0.012079175928114904,0.02575083502611229,0.008965682207082869,0.011640739359014414,0.006824957547564136,0.009906412004330822,0.013384539593001434,0.013225605699698802,0.03325590912664491,0.026767408159840776,0.014248984721754308,0.04915061711640199,0.0111737476040787,0.030615007568491788,0.043705944820427126,0.01949835490067428,0.026447990171418814,0.05561363541220476,0.00521781317795791,0.005507286340920429,0.022331542204903864,0.012824301643409997,0.021210316616304976
ADSK,0.0,0.019733849169262168,0.01920709377603537,0.5783170171996365,0.03541619927467073,0.01665991861739459,0.016206929716673688,0.012989590378750302,0.007855623108488387,0.003708591455922469,0.00724309506012578,0.00211219528639871,0.007146630255311186,0.015116688382169343,0.009656357078188245,0.02033933680571403,0.023905117990804265,0.014500366936128195,0.005190901598844076,0.01747153529708832,0.025464789237325196,0.02984868729053584,0.02050811808448695,0.01584980745174232,0.013915717723454814,0.009835794793521941,0.010989675522872226,0.0129739393053807,0.010359749556523716,0.01747668364654997
TXT,0.07810325767718775,0.007931453230451146,0.024810596982079648,0.38696386414211537,0.005883547211267388,0.016057884114240625,0.015585157578623707,0.006294458429864477,0.0025185056371203186,0.008949829347150504,0.009936720284304413,0.00683266442430125,0.017979117729111604,0.007062062466065496,0.016519671375262092,0.03680132187797037,0.015079208673357061,0.05460630249149938,0.06874888713466704,0.052968131198241925,0.04099879879710119,0.029620689333365494,0.027382866258300158,0.011689069632522968,0.00841291817755093,0.01024365267542243,0.008163148320382074,0.01043588964296998,0.0049586848687626,0.008461640288740586
INTU,0.011656938256532015,0.04026122254160792,0.10914706047867677,0.28339742673827006,0.01872062434250204,0.012317042092314642,0.006504306113146155,0.009735226658531404,0.005333825619135268,0.02287139734555609,0.016553857172506816,0.016897961195743515,0.0414945667575818,0.05471430752775398,0.03891100803282979,0.04104954296167711,0.013545668881081345,0.02064666516343623,0.005933311450943345,0.07728330180110399,0.029743073358909574,0.01944725768304596,0.014755472717477125,0.03513239336032965,0.008796354416422679,0.007686094540550358,0.008250434526738903,0.01187621951493315,0.008097046619436287,0.009240392131226134
